1	97422									Time	Best distance
2	105550									0	90004
3	97650									0.1	89968
4	97462									0.2	88808
5	96960									0.3	88784
6	98602									0.4	88464
7	99384									0.5	86530
8	99180									2	85950
9	103334									3	84452
10	97922									3.1	82142
11	97616										
12	98000										
13	99316										
14	109992										
15	99088										
16	102612										
17	100384										
18	95384										
19	98676										
20	96988										
21	104462										
22	100328										
23	99062										
24	97520										
25	95792										
26	99920										
27	93860										
28	101286										
29	96486										
30	102248										
31	97028										
32	98028										
33	101256										
34	102024										
35	97214										
36	103096										
37	106688										
38	104304										
39	99652										
40	99364										
41	98676										
42	89488										
43	106992										
44	96976										
45	102190										
46	97366										
47	97876										
48	94438										
49	99338										
50	98874										
51	100364										
52	99124										
53	102338										
54	100192										
55	93760										
56	97914										
57	87964										
58	94854										
59	100800										
60	105422										
61	101224										
62	98334										
63	96696										
64	100574										
65	94052										
66	95418										
67	100524										
68	101762										
69	93100										
70	104932										
71	99738										
72	98712										
73	98034										
74	96188										
75	97314										
76	101168										
77	98606										
78	93726										
79	100372										
80	97376										
81	98084										
82	101126										
83	96980										
84	93030										
85	97380										
86	105560										
87	100732										
88	96418										
89	91784										
90	102104										
91	99528										
92	103054										
93	96332										
94	97626										
95	95494										
96	100398										
97	103474										
98	99562										
99	101606										
100	97240										
101	100564										
102	98072										
103	100602										
104	93076										
105	96354										
106	98122										
107	97442										
108	98810										
109	91176										
110	100754										
111	96146										
112	97254										
113	107514										
114	90690										
115	96062										
116	94008										
117	89982										
118	93388										
119	94702										
120	100160										
121	99486										
122	99394										
123	94076										
124	102190										
125	96352										
126	101384										
127	95446										
128	102396										
129	97080										
130	105730										
131	96384										
132	94956										
133	103678										
134	103206										
135	98082										
136	97208										
137	96188										
138	99276										
139	99000										
140	96618										
141	97996										
142	101110										
143	97880										
144	95246										
145	98074										
146	93186										
147	97054										
148	101286										
149	100792										
150	94944										
151	102730										
152	98100										
153	93158										
154	103262										
155	96604										
156	96150										
157	95754										
158	100726										
159	99382										
160	100552										
161	99228										
162	104644										
163	96198										
164	100004										
165	97700										
166	98918										
167	94852										
168	97650										
169	91396										
170	94346										
171	95062										
172	91090										
173	92460										
174	90700										
175	101646										
176	90600										
177	104566										
178	94274										
179	98902										
180	100570										
181	97668										
182	102446										
183	97052										
184	95550										
185	100112										
186	97906										
187	97962										
188	93152										
189	100560										
190	94130										
191	100270										
192	93218										
193	103588										
194	96138										
195	94506										
196	96436										
197	97602										
198	95824										
199	99682										
200	98166										
201	87672										
202	94620										
203	96972										
204	103946										
205	93602										
206	98712										
207	100390										
208	100344										
209	98024										
210	103730										
211	102708										
212	95562										
213	98460										
214	97652										
215	100712										
216	95404										
217	98356										
218	94518										
219	95046										
220	103094										
221	94428										
222	94692										
223	98482										
224	93534										
225	104580										
226	103786										
227	94404										
228	94104										
229	99846										
230	102228										
231	95864										
232	91282										
233	96964										
234	95670										
235	102092										
236	92970										
237	96176										
238	98596										
239	99832										
240	101506										
241	98296										
242	97360										
243	96986										
244	98666										
245	96736										
246	100458										
247	95216										
248	100066										
249	92582										
250	95614										
251	102876										
252	99372										
253	98130										
254	99788										
255	104350										
256	97948										
257	101496										
258	97834										
259	92850										
260	100380										
261	95836										
262	101270										
263	99350										
264	94924										
265	102996										
266	103332										
267	100010										
268	93022										
269	93928										
270	96630										
271	93678										
272	94204										
273	97432										
274	99854										
275	94982										
276	94614										
277	97018										
278	96186										
279	92890										
280	96962										
281	102878										
282	95364										
283	98090										
284	93350										
285	98578										
286	96928										
287	94674										
288	99064										
289	98504										
290	98766										
291	96152										
292	100956										
293	96622										
294	101472										
295	92622										
296	84638										
297	97578										
298	99194										
299	88238										
300	95756										
301	96908										
